#Digilent WaveForms Logger;;;;
#Device Name: Discovery;;;;
#Serial Number: SN:210244449844;;;;
#Date Time: 2017-02-04 17:52::30.935;;;;
;;;;
Time (s);C1 DC (V);C2 DC (V);Sense-Power (W);Current (A)
4665;0.016905544;12.63521163;2.60E-05;0.001536868
4666;0.018411654;12.63511121;3.08E-05;0.001673787
4667;0.019974821;12.63502652;3.63E-05;0.001815893
4668;0.019478096;12.63476276;3.45E-05;0.001770736
4669;0.017145618;12.63448865;2.67E-05;0.001558693
4670;0.017127962;12.63466406;2.67E-05;0.001557087
4671;0.019266659;12.6348149;3.37E-05;0.001751514
4672;0.020040707;12.63489895;3.65E-05;0.001821882
4673;0.019169984;12.63473711;3.34E-05;0.001742726
4674;0.016891764;12.63510453;2.59E-05;0.001535615
4675;0.017256073;12.63483408;2.71E-05;0.001568734
4676;0.019701375;12.63486878;3.53E-05;0.001791034
4677;0.019518359;12.63482374;3.46E-05;0.001774396
4678;0.01827773;12.63466169;3.04E-05;0.001661612
4679;0.017031287;12.63417252;2.64E-05;0.001548299
4680;0.017827512;12.6342613;2.89E-05;0.001620683
4681;0.019607714;12.63403891;3.50E-05;0.001782519
4682;0.01967403;12.63462807;3.52E-05;0.001788548
4683;0.018015264;12.63495648;2.95E-05;0.001637751
4684;0.017415619;12.63533855;2.76E-05;0.001583238
4685;0.019126276;12.63501122;3.33E-05;0.001738752
4686;0.019926161;12.63515754;3.61E-05;0.001811469
4687;0.020051042;12.63505173;3.65E-05;0.001822822
4688;0.017284063;12.63506854;2.72E-05;0.001571278
4689;0.017665597;12.63503169;2.84E-05;0.001605963
4690;0.019761232;12.63480241;3.55E-05;0.001796476
4691;0.020062238;12.63461687;3.66E-05;0.00182384
4692;0.019524819;12.63501187;3.47E-05;0.001774984
4693;0.018222179;12.63493795;3.02E-05;0.001656562
4694;0.01804024;12.63503148;2.96E-05;0.001640022
4695;0.020190349;12.63460501;3.71E-05;0.001835486
4696;0.020231474;12.63479788;3.72E-05;0.001839225
4697;0.01908795;12.6348371;3.31E-05;0.001735268
4698;0.017304303;12.63468992;2.72E-05;0.001573118
4699;0.018121413;12.63471642;2.99E-05;0.001647401
4700;0.019369579;12.63496381;3.41E-05;0.001760871
4701;0.019882668;12.63472073;3.59E-05;0.001807515
4702;0.017979307;12.63477978;2.94E-05;0.001634482
4703;0.017477414;12.63517499;2.78E-05;0.001588856
4704;0.018806752;12.63528166;3.22E-05;0.001709705
4705;0.020162574;12.63496058;3.70E-05;0.001832961
4706;0.020029941;12.63496855;3.65E-05;0.001820904
4707;0.017424016;12.63527994;2.76E-05;0.001584001
4708;0.018194404;12.63500217;3.01E-05;0.001654037
4709;0.020077525;12.63512414;3.66E-05;0.00182523
4710;0.02004975;12.63490929;3.65E-05;0.001822705
4711;0.018887279;12.63518383;3.24E-05;0.001717025
4712;0.017327987;12.63541204;2.73E-05;0.001575272
4713;0.017811794;12.63542906;2.88E-05;0.001619254
4714;0.019589628;12.63571028;3.49E-05;0.001780875
4715;0.019627738;12.63597124;3.50E-05;0.00178434
4716;0.018340386;12.63653325;3.06E-05;0.001667308
4717;0.017082962;12.63589991;2.65E-05;0.001552997
4718;0.018344261;12.63604666;3.06E-05;0.00166766
4719;0.020212957;12.63628715;3.71E-05;0.001837542
4720;0.019962333;12.63560447;3.62E-05;0.001814758
4721;0.01717124;12.63509785;2.68E-05;0.001561022
4722;0.017355332;12.63534459;2.74E-05;0.001577757
4723;0.01913618;12.63563701;3.33E-05;0.001739653
4724;0.020196378;12.63557883;3.71E-05;0.001836034
4725;0.019699437;12.63544781;3.53E-05;0.001790858
4726;0.017907393;12.6353155;2.92E-05;0.001627945
4727;0.018197418;12.63580962;3.01E-05;0.001654311
4728;0.020792793;12.63596305;3.93E-05;0.001890254
4729;0.021012627;12.63591629;4.01E-05;0.001910239
4730;0.019678982;12.6360527;3.52E-05;0.001788998
4731;0.017906747;12.63602705;2.92E-05;0.001627886
4732;0.018618354;12.63605765;3.15E-05;0.001692578
4733;0.020855449;12.63585186;3.95E-05;0.00189595
4734;0.020772338;12.63577643;3.92E-05;0.001888394
4735;0.018854982;12.63596887;3.23E-05;0.001714089
4736;0.017934522;12.63642938;2.92E-05;0.001630411
4737;0.019668001;12.63728963;3.52E-05;0.001788
4738;0.020462289;12.63684377;3.81E-05;0.001860208
4739;0.020505997;12.63640589;3.82E-05;0.001864182
4740;0.018932925;12.63670004;3.26E-05;0.001721175
4741;0.018251892;12.63642507;3.03E-05;0.001659263
4742;0.019554317;12.63656277;3.48E-05;0.001777665
4743;0.020313077;12.63658626;3.75E-05;0.001846643
4744;0.019875778;12.63594473;3.59E-05;0.001806889
4745;0.019058237;12.63598503;3.30E-05;0.001732567
4746;0.018695651;12.63616066;3.18E-05;0.001699605
4747;0.020650256;12.63584475;3.88E-05;0.001877296
4748;0.020952339;12.6361529;3.99E-05;0.001904758
4749;0.02023901;12.63587707;3.72E-05;0.00183991
4750;0.018923667;12.63620634;3.26E-05;0.001720333
4751;0.019143501;12.63665888;3.33E-05;0.001740318
4752;0.020746286;12.63624384;3.91E-05;0.001886026
4753;0.021081957;12.63709568;4.04E-05;0.001916542
4754;0.019583384;12.63692027;3.49E-05;0.001780308
4755;0.018900628;12.63655717;3.25E-05;0.001718239
4756;0.020251498;12.63731635;3.73E-05;0.001841045
4757;0.021118991;12.63670456;4.05E-05;0.001919908
4758;0.021659856;12.63709935;4.26E-05;0.001969078
4759;0.019027447;12.63638822;3.29E-05;0.001729768
4760;0.018938739;12.636605;3.26E-05;0.001721704
4761;0.020889253;12.63684075;3.97E-05;0.001899023
4762;0.021609473;12.6367774;4.25E-05;0.001964498
4763;0.021126958;12.63684183;4.06E-05;0.001920633
4764;0.019436541;12.63695066;3.43E-05;0.001766958
4765;0.019358598;12.63680455;3.41E-05;0.001759873
4766;0.02159031;12.63718727;4.24E-05;0.001962755
4767;0.021500309;12.63711443;4.20E-05;0.001954574
4768;0.020534849;12.63672029;3.83E-05;0.001866804
4769;0.019511254;12.63603955;3.46E-05;0.00177375
4770;0.02009066;12.63585811;3.67E-05;0.001826424
4771;0.021546817;12.63736677;4.22E-05;0.001958802
4772;0.022249166;12.63768786;4.50E-05;0.002022651
4773;0.020516978;12.63748465;3.83E-05;0.00186518
4774;0.019868673;12.63735492;3.59E-05;0.001806243
4775;0.020898296;12.63750189;3.97E-05;0.001899845
4776;0.022860222;12.63801713;4.75E-05;0.002078202
4777;0.022256702;12.63810958;4.50E-05;0.002023337
4778;0.019856615;12.63722649;3.58E-05;0.001805147
4779;0.019920778;12.63739974;3.61E-05;0.00181098
4780;0.021550262;12.63782146;4.22E-05;0.001959115
4781;0.021946436;12.63757127;4.38E-05;0.001995131
4782;0.021716052;12.63726053;4.29E-05;0.001974187
4783;0.019993554;12.63756675;3.63E-05;0.001817596
4784;0.019775658;12.63789365;3.56E-05;0.001797787
4785;0.021680956;12.63811927;4.27E-05;0.001970996
4786;0.021734569;12.63768376;4.29E-05;0.00197587
4787;0.02073552;12.638057;3.91E-05;0.001885047
4788;0.019478742;12.63805032;3.45E-05;0.001770795
4789;0.02023944;12.63804902;3.72E-05;0.001839949
4790;0.021689138;12.63820375;4.28E-05;0.00197174
4791;0.021647152;12.63818758;4.26E-05;0.001967923
4792;0.019683289;12.63835244;3.52E-05;0.00178939
4793;0.019896448;12.63851104;3.60E-05;0.001808768
4794;0.021316863;12.63825072;4.13E-05;0.001937897
4795;0.022347563;12.63844057;4.54E-05;0.002031597
4796;0.02172122;12.6382518;4.29E-05;0.001974656
4797;0.019768552;12.63848798;3.55E-05;0.001797141
4798;0.019830778;12.6382462;3.58E-05;0.001802798
4799;0.022085959;12.63868839;4.43E-05;0.002007814
4800;0.022180481;12.63849574;4.47E-05;0.002016407
4801;0.021634018;12.63853776;4.25E-05;0.001966729
4802;0.020394465;12.63843993;3.78E-05;0.001854042
4803;0.021089278;12.63843152;4.04E-05;0.001917207
4804;0.023281588;12.63818586;4.93E-05;0.002116508
4805;0.023311732;12.63835675;4.94E-05;0.002119248
4806;0.021774833;12.63845415;4.31E-05;0.00197953
4807;0.020771046;12.63835007;3.92E-05;0.001888277
4808;0.02161141;12.63833218;4.25E-05;0.001964674
4809;0.022889935;12.63890108;4.76E-05;0.002080903
4810;0.022958835;12.63850608;4.79E-05;0.002087167
4811;0.020970641;12.63840609;4.00E-05;0.001906422
4812;0.020238579;12.63860629;3.72E-05;0.001839871
4813;0.022160672;12.63895754;4.46E-05;0.002014607
4814;0.023177162;12.63902068;4.88E-05;0.002107015
4815;0.023567092;12.63853733;5.05E-05;0.002142463
4816;0.0211838;12.63866749;4.08E-05;0.0019258
4817;0.021171958;12.63900754;4.08E-05;0.001924723
4818;0.02363427;12.63899719;5.08E-05;0.00214857
4819;0.023663337;12.63875045;5.09E-05;0.002151212
4820;0.02311063;12.63836968;4.86E-05;0.002100966
4821;0.021308681;12.63826279;4.13E-05;0.001937153
4822;0.021713038;12.6383158;4.29E-05;0.001973913
4823;0.023672811;12.63829037;5.09E-05;0.002152074
4824;0.023558695;12.63830891;5.05E-05;0.0021417
4825;0.02298295;12.63840803;4.80E-05;0.002089359
4826;0.021759115;12.63845997;4.30E-05;0.001978101
4827;0.022760532;12.63823499;4.71E-05;0.002069139
4828;0.024222718;12.63826538;5.33E-05;0.002202065
4829;0.024281929;12.6382281;5.36E-05;0.002207448
4830;0.02188012;12.63843389;4.35E-05;0.001989102
4831;0.021531745;12.63816259;4.21E-05;0.001957431
4832;0.022915988;12.63832679;4.77E-05;0.002083272
4833;0.024124967;12.63867805;5.29E-05;0.002193179
4834;0.023769271;12.6382893;5.14E-05;0.002160843
4835;0.021713899;12.63851104;4.29E-05;0.001973991
4836;0.02159763;12.63919652;4.24E-05;0.001963421
4837;0.02381341;12.63914416;5.16E-05;0.002164855
4838;0.024303676;12.63884872;5.37E-05;0.002209425
4839;0.024086856;12.63871705;5.27E-05;0.002189714
4840;0.022849672;12.63869507;4.75E-05;0.002077243
4841;0.023580011;12.63873795;5.05E-05;0.002143637
4842;0.02549952;12.63879269;5.91E-05;0.002318138
4843;0.025762632;12.63964906;6.03E-05;0.002342057
4844;0.023822022;12.63921074;5.16E-05;0.002165638
4845;0.022842136;12.6397109;4.74E-05;0.002076558
4846;0.023883386;12.63925169;5.19E-05;0.002171217
4847;0.024904828;12.63904007;5.64E-05;0.002264075
4848;0.024726549;12.63894483;5.56E-05;0.002247868
4849;0.022643187;12.63932;4.66E-05;0.002058472
4850;0.022539622;12.63906529;4.62E-05;0.002049057
4851;0.024059727;12.63894396;5.26E-05;0.002187248
4852;0.024952412;12.63946072;5.66E-05;0.002268401
4853;0.024559252;12.63988955;5.48E-05;0.002232659
4854;0.022821681;12.64012874;4.73E-05;0.002074698
4855;0.022825557;12.64002552;4.74E-05;0.002075051
4856;0.02506825;12.63988222;5.71E-05;0.002278932
4857;0.025768876;12.63956911;6.04E-05;0.002342625
4858;0.024915593;12.6392282;5.64E-05;0.002265054
4859;0.023960899;12.63914028;5.22E-05;0.002178264
4860;0.024543534;12.6390599;5.48E-05;0.00223123
4861;0.026117036;12.63966651;6.20E-05;0.002374276
4862;0.026286702;12.63985205;6.28E-05;0.0023897
4863;0.025165571;12.6397971;5.76E-05;0.002287779
4864;0.024585735;12.63940038;5.50E-05;0.002235067
4865;0.026070313;12.63938723;6.18E-05;0.002370028
4866;0.026692135;12.63932862;6.48E-05;0.002426558
4867;0.026124787;12.63942451;6.20E-05;0.002374981
4868;0.024309489;12.64028627;5.37E-05;0.002209954
4869;0.024195804;12.63973267;5.32E-05;0.002199619
4870;0.026115098;12.63964539;6.20E-05;0.0023741
4871;0.026088184;12.63920493;6.19E-05;0.002371653
4872;0.024984493;12.63962686;5.67E-05;0.002271318
4873;0.023631471;12.64043216;5.08E-05;0.002148316
4874;0.02414779;12.63953075;5.30E-05;0.002195254
4875;0.026377564;12.63971758;6.33E-05;0.00239796
4876;0.026830151;12.64070217;6.54E-05;0.002439105
4877;0.025668325;12.64076833;5.99E-05;0.002333484
4878;0.024919684;12.64029532;5.65E-05;0.002265426
4879;0.026152778;12.64008802;6.22E-05;0.002377525
4880;0.027664916;12.64035717;6.96E-05;0.002514992
4881;0.027784415;12.63994083;7.02E-05;0.002525856
4882;0.025541076;12.64027162;5.93E-05;0.002321916
4883;0.025080092;12.64013995;5.72E-05;0.002280008
4884;0.027111133;12.64051232;6.68E-05;0.002464648
4885;0.027400728;12.64041492;6.83E-05;0.002490975
4886;0.027510968;12.64025761;6.88E-05;0.002500997
4887;0.024960163;12.640124;5.66E-05;0.002269106
4888;0.024762722;12.64082867;5.57E-05;0.002251157
4889;0.027527117;12.64057999;6.89E-05;0.002502465
4890;0.027301469;12.64068472;6.78E-05;0.002481952
4891;0.026468641;12.6406455;6.37E-05;0.00240624
4892;0.025034876;12.64030976;5.70E-05;0.002275898
4893;0.025626124;12.64052374;5.97E-05;0.002329648
4894;0.027828339;12.64040242;7.04E-05;0.002529849
4895;0.028012861;12.64066726;7.13E-05;0.002546624
4896;0.026183568;12.63964432;6.23E-05;0.002380324
4897;0.026255697;12.64090172;6.27E-05;0.002386882
4898;0.027397068;12.64103295;6.82E-05;0.002490643
4899;0.028175637;12.64040501;7.22E-05;0.002561422
4900;0.027822525;12.64089094;7.04E-05;0.00252932
4901;0.026732614;12.6403535;6.50E-05;0.002430238
4902;0.026645843;12.64040608;6.45E-05;0.002422349
4903;0.02832937;12.64046319;7.30E-05;0.002575397
4904;0.028556525;12.64047677;7.41E-05;0.002596048
4905;0.028053986;12.6401072;7.15E-05;0.002550362
4906;0.026283042;12.64054551;6.28E-05;0.002389367
4907;0.026743595;12.64071359;6.50E-05;0.002431236
4908;0.029061863;12.64106592;7.68E-05;0.002641988
4909;0.028812747;12.64107734;7.55E-05;0.002619341
4910;0.027717237;12.64118746;6.98E-05;0.002519749
4911;0.02679204;12.64098533;6.53E-05;0.00243564
4912;0.02740568;12.64066424;6.83E-05;0.002491425
4913;0.028964972;12.64061253;7.63E-05;0.002633179
4914;0.029037317;12.64097736;7.67E-05;0.002639756
4915;0.028026641;12.64133055;7.14E-05;0.002547876
4916;0.027610442;12.64126202;6.93E-05;0.00251004
4917;0.029359424;12.6410252;7.84E-05;0.002669039
4918;0.03010096;12.64126008;8.24E-05;0.002736451
4919;0.029696819;12.64153053;8.02E-05;0.002699711
4920;0.028010277;12.64137192;7.13E-05;0.002546389
4921;0.027835659;12.64060757;7.04E-05;0.002530514
4922;0.029474401;12.6407651;7.90E-05;0.002679491
4923;0.030030984;12.64090969;8.20E-05;0.002730089
4924;0.029122581;12.64065412;7.71E-05;0.002647507
4925;0.027813482;12.64142278;7.03E-05;0.002528498
4926;0.028994039;12.64164495;7.64E-05;0.002635822
4927;0.030505317;12.64147945;8.46E-05;0.002773211
4928;0.03059704;12.64136869;8.51E-05;0.002781549
4929;0.028942795;12.6407026;7.62E-05;0.002631163
4930;0.028279633;12.64099977;7.27E-05;0.002570876
4931;0.029635886;12.64145963;7.98E-05;0.002694171
4932;0.03024931;12.641743;8.32E-05;0.002749937
4933;0.030206033;12.64156199;8.29E-05;0.002746003
4934;0.027543696;12.64102304;6.90E-05;0.002503972
4935;0.027636711;12.64140705;6.94E-05;0.002512428
4936;0.030077276;12.64131525;8.22E-05;0.002734298
4937;0.030605222;12.64154971;8.52E-05;0.002782293
4938;0.030077706;12.64127452;8.22E-05;0.002734337
4939;0.02864631;12.64131266;7.46E-05;0.00260421
4940;0.029037963;12.64167641;7.67E-05;0.002639815
4941;0.031024004;12.64165487;8.75E-05;0.002820364
4942;0.031359461;12.64168417;8.94E-05;0.00285086
4943;0.030160171;12.64137882;8.27E-05;0.002741834
4944;0.029590455;12.64189105;7.96E-05;0.002690041
4945;0.030254478;12.64189514;8.32E-05;0.002750407
4946;0.031665204;12.64167706;9.12E-05;0.002878655
4947;0.031598457;12.64209059;9.08E-05;0.002872587
4948;0.030260722;12.64216709;8.32E-05;0.002750975
4949;0.029678517;12.64205073;8.01E-05;0.002698047
4950;0.030888357;12.64205719;8.67E-05;0.002808032
4951;0.031874057;12.64182209;9.24E-05;0.002897642
4952;0.031510179;12.64214684;9.03E-05;0.002864562
4953;0.030172229;12.64222743;8.28E-05;0.00274293
4954;0.030055314;12.64278189;8.21E-05;0.002732301
4955;0.031707405;12.64270216;9.14E-05;0.002882491
4956;0.031399724;12.64285818;8.96E-05;0.00285452
4957;0.030550963;12.6422757;8.49E-05;0.00277736
4958;0.029338539;12.6423063;7.82E-05;0.00266714
4959;0.02994572;12.64248731;8.15E-05;0.002722338
4960;0.031824966;12.64268255;9.21E-05;0.002893179
4961;0.031829918;12.64239702;9.21E-05;0.002893629
4962;0.030627614;12.64209964;8.53E-05;0.002784329
4963;0.029825576;12.64192746;8.09E-05;0.002711416
4964;0.031116158;12.64192897;8.80E-05;0.002828742
4965;0.032209298;12.64197961;9.43E-05;0.002928118
4966;0.031867598;12.64212442;9.23E-05;0.002897054
4967;0.029724594;12.64179558;8.03E-05;0.002702236
4968;0.030042611;12.6419057;8.21E-05;0.002731146
4969;0.03196578;12.64207314;9.29E-05;0.00290598
4970;0.031861784;12.64201452;9.23E-05;0.002896526
4971;0.031379054;12.64205848;8.95E-05;0.002852641
4972;0.029956701;12.64190656;8.16E-05;0.002723336
4973;0.030361919;12.64171154;8.38E-05;0.002760174
4974;0.031962981;12.64175744;9.29E-05;0.002905726
4975;0.032237504;12.64173374;9.45E-05;0.002930682
4976;0.031044674;12.64179257;8.76E-05;0.002822243
4977;0.030481202;12.64189148;8.45E-05;0.002771018
4978;0.031572405;12.64150639;9.06E-05;0.002870219
4979;0.03245497;12.64170486;9.58E-05;0.002950452
4980;0.032939638;12.64165357;9.86E-05;0.002994513
4981;0.030834099;12.64225588;8.64E-05;0.0028031
4982;0.030836467;12.64194126;8.64E-05;0.002803315
4983;0.032718512;12.6420197;9.73E-05;0.00297441
4984;0.032920475;12.64193522;9.85E-05;0.00299277
4985;0.032417075;12.64235263;9.55E-05;0.002947007
4986;0.030834099;12.64208887;8.64E-05;0.0028031
4987;0.03104166;12.6421158;8.76E-05;0.002821969
4988;0.033184448;12.64207184;0.00010011;0.003016768
4989;0.033664379;12.64173266;0.000103026;0.003060398
4990;0.032357864;12.6423035;9.52E-05;0.002941624
4991;0.031333193;12.64294007;8.93E-05;0.002848472
4992;0.032629373;12.64217076;9.68E-05;0.002966307
4993;0.034162181;12.64258062;0.000106096;0.003105653
4994;0.03358213;12.64274655;0.000102524;0.003052921
4995;0.031777597;12.64237892;9.18E-05;0.002888872
4996;0.03145872;12.6420003;9.00E-05;0.002859884
4997;0.033406435;12.64202551;0.000101454;0.003036949
4998;0.033797442;12.64220696;0.000103842;0.003072495
4999;0.033096385;12.64211322;9.96E-05;0.003008762
5000;0.03124147;12.64202702;8.87E-05;0.002840134
5001;0.031300896;12.64201926;8.91E-05;0.002845536
5002;0.033325693;12.6419585;0.000100964;0.003029608
5003;0.033851916;12.64219144;0.000104177;0.003077447
5004;0.032780307;12.64198134;9.77E-05;0.002980028
5005;0.031244699;12.64189751;8.87E-05;0.002840427
5006;0.032707316;12.64185398;9.73E-05;0.002973392
5007;0.03447869;12.64186454;0.000108071;0.003134426
5008;0.034519384;12.64193264;0.000108326;0.003138126
5009;0.033459832;12.6425886;0.000101778;0.003041803
5010;0.033377583;12.64335941;0.000101278;0.003034326
5011;0.034169071;12.64280258;0.000106139;0.003106279
5012;0.035048191;12.64220157;0.000111671;0.003186199
5013;0.034869052;12.64228281;0.000110532;0.003169914
5014;0.032814326;12.64225264;9.79E-05;0.002983121
5015;0.032896791;12.64234035;9.84E-05;0.002990617
5016;0.035361256;12.6425274;0.000113674;0.00321466
5017;0.03548463;12.64354;0.000114469;0.003225875
5018;0.034307086;12.64294739;0.000106998;0.003118826
5019;0.032991097;12.64310944;9.89E-05;0.002999191
5020;0.03391974;12.64311612;0.000104595;0.003083613
5021;0.035245202;12.64295666;0.000112929;0.003204109
5022;0.035546855;12.64256295;0.000114871;0.003231532
5023;0.033678159;12.64294438;0.000103111;0.003061651
5024;0.033281123;12.64325296;0.000100694;0.003025557
5025;0.034643835;12.64228066;0.000109109;0.00314944
5026;0.035729655;12.64345725;0.000116055;0.00324815
5027;0.035646975;12.64301419;0.000115519;0.003240634
5028;0.033676221;12.64409511;0.000103099;0.003061475
5029;0.033618087;12.64446748;0.000102743;0.00305619
5030;0.035617477;12.644586;0.000115328;0.003237952
5031;0.036128844;12.64387229;0.000118663;0.00328444
5032;0.035226685;12.64411342;0.000112811;0.003202426
5033;0.034168856;12.64407076;0.000106137;0.00310626
5034;0.03488197;12.64450864;0.000110614;0.003171088
5035;0.037041984;12.64483382;0.000124737;0.003367453
5036;0.037265478;12.64443688;0.000126247;0.003387771
5037;0.035839464;12.64427634;0.00011677;0.003258133
5038;0.034331847;12.64450088;0.000107152;0.003121077
5039;0.035581951;12.64473943;0.000115098;0.003234723
5040;0.037165788;12.64502862;0.000125572;0.003378708
5041;0.037211219;12.6451368;0.00012588;0.003382838
5042;0.03522647;12.6448989;0.000112809;0.003202406
5043;0.035172427;12.64474805;0.000112464;0.003197493
5044;0.037384976;12.64449398;0.000127058;0.003398634
5045;0.038386178;12.64366046;0.000133954;0.003489653
5046;0.037003658;12.64417829;0.000124479;0.003363969
5047;0.034921588;12.64412226;0.000110865;0.00317469
5048;0.034980799;12.64465022;0.000111241;0.003180073
5049;0.037279904;12.64455756;0.000126345;0.003389082
5050;0.037909262;12.64480429;0.000130647;0.003446297
5051;0.03603992;12.64499867;0.00011808;0.003276356
5052;0.035412931;12.64511633;0.000114007;0.003219357
5053;0.036893418;12.64514133;0.000123739;0.003353947
5054;0.038213498;12.64483339;0.000132752;0.003473954
5055;0.038002277;12.64426642;0.000131288;0.003454752
5056;0.035672167;12.64475107;0.000115682;0.003242924
5057;0.035422189;12.64437331;0.000114066;0.003220199
5058;0.03676057;12.64385225;0.000122849;0.00334187
5059;0.038794411;12.64475861;0.000136819;0.003526765
5060;0.038516442;12.64492045;0.000134865;0.003501495
5061;0.036651192;12.6447446;0.000122119;0.003331927
5062;0.036340065;12.64464526;0.000120055;0.003303642
5063;0.038986039;12.64462975;0.000138174;0.003544185
5064;0.039119317;12.64451187;0.00013912;0.003556302
5065;0.037485527;12.64488252;0.000127742;0.003407775
5066;0.036987725;12.64482606;0.000124372;0.00336252
5067;0.037922611;12.64505146;0.000130739;0.00344751
5068;0.03911135;12.64539237;0.000139063;0.003555577
5069;0.039536592;12.64536328;0.000142104;0.003594236
5070;0.037403924;12.64505577;0.000127187;0.003400357
5071;0.037064591;12.64512215;0.000124889;0.003369508
5072;0.03815967;12.64514499;0.000132378;0.003469061
5073;0.039391472;12.64528937;0.000141063;0.003581043
5074;0.039242045;12.64509866;0.000139994;0.003567459
5075;0.037103778;12.64483274;0.000125154;0.003373071
5076;0.037093443;12.64522968;0.000125084;0.003372131
5077;0.039304916;12.6453301;0.000140443;0.003573174
5078;0.039532286;12.6452689;0.000142073;0.003593844
5079;0.038369169;12.64545788;0.000133836;0.003488106
5080;0.036953706;12.64533117;0.000124143;0.003359428
5081;0.037334162;12.64545551;0.000126713;0.003394015
5082;0.039480826;12.64533958;0.000141703;0.003589166
5083;0.040168964;12.64536587;0.000146686;0.003651724
5084;0.038431609;12.64484912;0.000134272;0.003493783
5085;0.038106057;12.64475365;0.000132007;0.003464187
5086;0.040179945;12.64516568;0.000146766;0.003652722
5087;0.041286435;12.6452773;0.000154961;0.003753312
5088;0.041022247;12.64531652;0.000152984;0.003729295
5089;0.038943622;12.64530057;0.000137873;0.003540329
5090;0.037903018;12.64564515;0.000130604;0.003445729
5091;0.040663968;12.64560657;0.000150323;0.003696724
5092;0.041088994;12.64568394;0.000153482;0.003735363
5093;0.040371358;12.64564773;0.000148168;0.003670123
5094;0.039317835;12.64561627;0.000140536;0.003574349
5095;0.039370802;12.6454053;0.000140915;0.003579164
5096;0.04126555;12.64582745;0.000154804;0.003751414
5097;0.041511006;12.64554408;0.000156651;0.003773728
5098;0.040120735;12.64556929;0.000146334;0.00364734
5099;0.038998527;12.64552124;0.000138262;0.003545321
5100;0.040948395;12.64491764;0.000152434;0.003722581
5101;0.041750218;12.64553568;0.000158462;0.003795474
5102;0.042221322;12.64573587;0.000162058;0.003838302
5103;0.039244629;12.64537621;0.000140013;0.003567694
5104;0.039543482;12.64567122;0.000142153;0.003594862
5105;0.04154804;12.64571691;0.000156931;0.003777095
5106;0.04223747;12.64549387;0.000162182;0.00383977
5107;0.041728687;12.64557274;0.000158298;0.003793517
5108;0.040088868;12.64547879;0.000146102;0.003644443
5109;0.040275544;12.64539841;0.000147465;0.003661413
5110;0.042529864;12.64532083;0.000164435;0.003866351
5111;0.042439433;12.64558869;0.000163737;0.00385813
5112;0.041778855;12.64580914;0.000158679;0.003798078
5113;0.040802413;12.64627439;0.000151349;0.00370931
5114;0.041926559;12.64554344;0.000159803;0.003811505
5115;0.043252452;12.6458337;0.00017007;0.003932041
5116;0.043443004;12.64572596;0.000171572;0.003949364
5117;0.041102343;12.64603691;0.000153582;0.003736577
5118;0.040846337;12.64612721;0.000151675;0.003713303
5119;0.042405629;12.64586667;0.000163476;0.003855057
5120;0.043892361;12.6459602;0.00017514;0.003990215
5121;0.043196902;12.64627934;0.000169634;0.003926991
5122;0.041152081;12.64632309;0.000153954;0.003741098
5123;0.041357273;12.64630111;0.000155493;0.003759752
5124;0.04426765;12.64761885;0.000178148;0.004024332
5125;0.044183463;12.64711826;0.000177471;0.004016678
5126;0.043088384;12.64660625;0.000168783;0.003917126
5127;0.042055746;12.64643644;0.00016079;0.00382325
5128;0.042764555;12.64669115;0.000166255;0.003887687
5129;0.044762868;12.64625348;0.000182156;0.004069352
5130;0.045071196;12.64592917;0.000184674;0.004097381
5131;0.042996661;12.64683661;0.000168065;0.003908787
5132;0.042572065;12.64689738;0.000164762;0.003870188
5133;0.0442571;12.64691419;0.000178063;0.004023373
5134;0.045544021;12.64669201;0.000188569;0.004140366
5135;0.045602802;12.64635757;0.000189056;0.004145709
5136;0.043337716;12.64611061;0.000170742;0.003939792
5137;0.043247069;12.64713399;0.000170028;0.003931552
5138;0.045939119;12.64655431;0.000191855;0.004176284
5139;0.045971847;12.64646725;0.000192128;0.004179259
5140;0.045088205;12.64674976;0.000184813;0.004098928
5141;0.043591354;12.64634119;0.000172746;0.00396285
5142;0.044231477;12.64663038;0.000177857;0.004021043
5143;0.046480199;12.64698487;0.000196401;0.004225473
5144;0.046319361;12.646906;0.000195044;0.004210851
5145;0.044806577;12.64668792;0.000182512;0.004073325
5146;0.044170975;12.64612203;0.00017737;0.004015543
5147;0.044997989;12.64644226;0.000184074;0.004090726
5148;0.046062493;12.64665021;0.000192887;0.004187499
5149;0.046330127;12.64676248;0.000195135;0.00421183
5150;0.04431954;12.64630348;0.000178566;0.004029049
5151;0.04450923;12.64714261;0.000180097;0.004046294
5152;0.046495056;12.64741844;0.000196526;0.004226823
5153;0.046435414;12.64757855;0.000196023;0.004221401
5154;0.046696804;12.64761734;0.000198236;0.004245164
5155;0.044976458;12.64739193;0.000183898;0.004088769
5156;0.046633071;12.64691893;0.000197695;0.00423937
5157;0.048278057;12.64677821;0.000211888;0.004388914
5158;0.048166525;12.64617095;0.00021091;0.004378775
5159;0.046308811;12.64667887;0.000194955;0.004209892
5160;0.045705721;12.64707494;0.00018991;0.004155066
5161;0.046634148;12.64696547;0.000197704;0.004239468
5162;0.047867026;12.64803949;0.000208296;0.004351548
5163;0.047973821;12.6474958;0.000209226;0.004361256
5164;0.045695386;12.64763846;0.000189824;0.004154126
5165;0.045587084;12.64718484;0.000188926;0.00414428
