#Digilent WaveForms Logger;;;;
#Device Name: Discovery;;;;
#Serial Number: SN:210244449844;;;;
#Date Time: 2017-02-04 17:52::30.935;;;;
;;;;
Time (s);C1 DC (V);C2 DC (V);Sense-Power (W);Current (A)
92;-0.003728482;12.59217963;1.26E-06;-0.000338953
93;-0.004149417;12.59230979;1.57E-06;-0.00037722
94;-0.004011402;12.59254101;1.46E-06;-0.000364673
95;-0.003849918;12.59243391;1.35E-06;-0.000349993
96;-0.003973292;12.59259338;1.44E-06;-0.000361208
97;-0.003339412;12.59265135;1.01E-06;-0.000303583
98;-0.003600802;12.59240137;1.18E-06;-0.000327346
99;-0.002930965;12.5927356;7.81E-07;-0.000266451
100;-0.003041851;12.59272375;8.41E-07;-0.000276532
101;-0.003209794;12.59273474;9.37E-07;-0.000291799
102;-0.003626639;12.59319094;1.20E-06;-0.000329694
103;-0.004192695;12.59341117;1.60E-06;-0.000381154
104;-0.004080302;12.59301337;1.51E-06;-0.000370937
105;-0.003756688;12.5934101;1.28E-06;-0.000341517
106;-0.003830109;12.59355405;1.33E-06;-0.000348192
107;-0.003619318;12.59343552;1.19E-06;-0.000329029
108;-0.00370286;12.59324244;1.25E-06;-0.000336624
109;-0.003830755;12.59319029;1.33E-06;-0.00034825
110;-0.003910205;12.59372191;1.39E-06;-0.000355473
111;-0.00344793;12.5937635;1.08E-06;-0.000313448
112;-0.003529318;12.59336312;1.13E-06;-0.000320847
113;-0.003955206;12.59294118;1.42E-06;-0.000359564
114;-0.003985134;12.59261967;1.44E-06;-0.000362285
115;-0.004049943;12.59338575;1.49E-06;-0.000368177
116;-0.004034225;12.59286274;1.48E-06;-0.000366748
117;-0.004383031;12.59315926;1.75E-06;-0.000398457
118;-0.004040039;12.59293235;1.48E-06;-0.000367276
119;-0.003664749;12.59251796;1.22E-06;-0.000333159
120;-0.003658505;12.59280715;1.22E-06;-0.000332591
121;-0.003442547;12.59323684;1.08E-06;-0.000312959
122;-0.003776281;12.59282827;1.30E-06;-0.000343298
123;-0.003748936;12.59251774;1.28E-06;-0.000340812
124;-0.003697046;12.59296834;1.24E-06;-0.000336095
125;-0.003656567;12.59329545;1.22E-06;-0.000332415
126;-0.003499389;12.59284421;1.11E-06;-0.000318126
127;-0.002869386;12.5929192;7.48E-07;-0.000260853
128;-0.003243383;12.59307975;9.56E-07;-0.000294853
129;-0.003350609;12.59311336;1.02E-06;-0.000304601
130;-0.003687572;12.59292114;1.24E-06;-0.000335234
131;-0.003745707;12.59250675;1.28E-06;-0.000340519
132;-0.003816545;12.59257959;1.32E-06;-0.000346959
133;-0.003887813;12.59285649;1.37E-06;-0.000353438
134;-0.003845612;12.59320365;1.34E-06;-0.000349601
135;-0.004227576;12.59284206;1.62E-06;-0.000384325
136;-0.004307241;12.59307026;1.69E-06;-0.000391567
137;-0.003896425;12.5929817;1.38E-06;-0.00035422
138;-0.003938842;12.59305841;1.41E-06;-0.000358077
139;-0.004164059;12.59326895;1.58E-06;-0.000378551
140;-0.004105494;12.59350448;1.53E-06;-0.000373227
141;-0.004204753;12.59331269;1.61E-06;-0.00038225
142;-0.003824726;12.59365727;1.33E-06;-0.000347702
143;-0.003750659;12.59295368;1.28E-06;-0.000340969
144;-0.003833554;12.59255524;1.34E-06;-0.000348505
145;-0.0037203;12.59279465;1.26E-06;-0.000338209
146;-0.00377219;12.59294097;1.29E-06;-0.000342926
147;-0.004127456;12.59270371;1.55E-06;-0.000375223
148;-0.003879416;12.59290024;1.37E-06;-0.000352674
149;-0.003783817;12.59276663;1.30E-06;-0.000343983
150;-0.003461279;12.59287503;1.09E-06;-0.000314662
151;-0.003672931;12.59351461;1.23E-06;-0.000333903
152;-0.003616304;12.59339954;1.19E-06;-0.000328755
153;-0.003463432;12.5927787;1.09E-06;-0.000314857
154;-0.003836353;12.59297372;1.34E-06;-0.000348759
155;-0.003870157;12.59334674;1.36E-06;-0.000351832
156;-0.004191619;12.59322068;1.60E-06;-0.000381056
157;-0.00374463;12.59282827;1.27E-06;-0.000340421
158;-0.003438671;12.59275715;1.07E-06;-0.000312606
159;-0.003914512;12.5925061;1.39E-06;-0.000355865
160;-0.004345136;12.59271729;1.72E-06;-0.000395012
161;-0.004133484;12.59252399;1.55E-06;-0.000375771
162;-0.003677883;12.59226281;1.23E-06;-0.000334353
163;-0.003891258;12.59261794;1.38E-06;-0.000353751
164;-0.003441255;12.59254446;1.08E-06;-0.000312841
165;-0.003600371;12.59276125;1.18E-06;-0.000327306
166;-0.003332307;12.5926313;1.01E-06;-0.000302937
167;-0.003715994;12.59308384;1.26E-06;-0.000337818
168;-0.003657429;12.59292847;1.22E-06;-0.000332494
169;-0.003528457;12.59312521;1.13E-06;-0.000320769
170;-0.003666902;12.59285843;1.22E-06;-0.000333355
171;-0.003773482;12.59291748;1.29E-06;-0.000343044
172;-0.003751951;12.59301617;1.28E-06;-0.000341086
173;-0.003897717;12.59270134;1.38E-06;-0.000354338
174;-0.003628362;12.59262893;1.20E-06;-0.000329851
175;-0.00397889;12.5926132;1.44E-06;-0.000361717
176;-0.00405102;12.5924755;1.49E-06;-0.000368275
177;-0.003662812;12.59229837;1.22E-06;-0.000332983
178;-0.003877478;12.59248305;1.37E-06;-0.000352498
179;-0.003532548;12.59266277;1.13E-06;-0.000321141
180;-0.003479581;12.5929039;1.10E-06;-0.000316326
181;-0.003247259;12.59266837;9.59E-07;-0.000295205
182;-0.003683051;12.59254403;1.23E-06;-0.000334823
183;-0.004105278;12.59323318;1.53E-06;-0.000373207
184;-0.004229944;12.593317;1.63E-06;-0.00038454
185;-0.003774343;12.59285865;1.30E-06;-0.000343122
186;-0.003790061;12.59264682;1.31E-06;-0.000344551
187;-0.003199244;12.59256321;9.30E-07;-0.00029084
188;-0.003086851;12.59286533;8.66E-07;-0.000280623
189;-0.003321542;12.59295842;1.00E-06;-0.000301958
190;-0.002681203;12.5928468;6.54E-07;-0.000243746
191;-0.002595724;12.59290369;6.13E-07;-0.000235975
192;-0.0033758;12.59320753;1.04E-06;-0.000306891
193;-0.00315532;12.59318038;9.05E-07;-0.000286847
194;-0.003466231;12.59325602;1.09E-06;-0.000315112
195;-0.003975445;12.5932196;1.44E-06;-0.000361404
196;-0.004069321;12.59262031;1.51E-06;-0.000369938
197;-0.00399267;12.5927091;1.45E-06;-0.00036297
198;-0.003689726;12.59282352;1.24E-06;-0.00033543
199;-0.003900516;12.59289658;1.38E-06;-0.000354592
200;-0.003641926;12.59292545;1.21E-06;-0.000331084
201;-0.003805133;12.59252701;1.32E-06;-0.000345921
202;-0.003848841;12.59242206;1.35E-06;-0.000349895
203;-0.003787693;12.59268561;1.30E-06;-0.000344336
204;-0.003729989;12.59259833;1.26E-06;-0.00033909
205;-0.003660012;12.59275349;1.22E-06;-0.000332728
206;-0.003656137;12.59307608;1.22E-06;-0.000332376
207;-0.003770037;12.59271233;1.29E-06;-0.000342731
208;-0.003649247;12.59278538;1.21E-06;-0.00033175
209;-0.004016785;12.59301424;1.47E-06;-0.000365162
210;-0.004132623;12.59288666;1.55E-06;-0.000375693
211;-0.004207121;12.59319805;1.61E-06;-0.000382466
212;-0.004117551;12.59337023;1.54E-06;-0.000374323
213;-0.004193341;12.59288817;1.60E-06;-0.000381213
214;-0.004229514;12.59291468;1.63E-06;-0.000384501
215;-0.004188604;12.59278517;1.59E-06;-0.000380782
216;-0.004259442;12.59284787;1.65E-06;-0.000387222
217;-0.003986857;12.59283753;1.45E-06;-0.000362442
218;-0.004364945;12.59328015;1.73E-06;-0.000396813
219;-0.004344275;12.59317564;1.72E-06;-0.000394934
220;-0.004226069;12.59371523;1.62E-06;-0.000384188
221;-0.004308964;12.59307716;1.69E-06;-0.000391724
222;-0.004569707;12.59304397;1.90E-06;-0.000415428
223;-0.004124656;12.59327584;1.55E-06;-0.000374969
224;-0.003715994;12.59325236;1.26E-06;-0.000337818
225;-0.003833554;12.59356051;1.34E-06;-0.000348505
226;-0.003846258;12.59329998;1.34E-06;-0.00034966
227;-0.003742477;12.5932933;1.27E-06;-0.000340225
228;-0.003669702;12.59326335;1.22E-06;-0.000333609
229;-0.003917311;12.59329351;1.40E-06;-0.000356119
230;-0.004212073;12.5931681;1.61E-06;-0.000382916
231;-0.003924416;12.59307134;1.40E-06;-0.000356765
232;-0.004190757;12.59321917;1.60E-06;-0.000380978
233;-0.003696616;12.59293709;1.24E-06;-0.000336056
234;-0.00347183;12.59307134;1.10E-06;-0.000315621
235;-0.003021827;12.59341527;8.30E-07;-0.000274712
236;-0.003633529;12.59346462;1.20E-06;-0.000330321
237;-0.003697477;12.59349651;1.24E-06;-0.000336134
238;-0.003984703;12.59388892;1.44E-06;-0.000362246
239;-0.003854224;12.59307177;1.35E-06;-0.000350384
240;-0.004067383;12.59320839;1.50E-06;-0.000369762
241;-0.004126594;12.59370554;1.55E-06;-0.000375145
242;-0.0043615;12.59412467;1.73E-06;-0.0003965
243;-0.004114752;12.59346009;1.54E-06;-0.000374068
244;-0.003855085;12.59393073;1.35E-06;-0.000350462
245;-0.003744415;12.5939471;1.27E-06;-0.000340401
246;-0.003753889;12.59376092;1.28E-06;-0.000341263
247;-0.003596065;12.59390918;1.18E-06;-0.000326915
248;-0.004201954;12.59474572;1.61E-06;-0.000381996
249;-0.003843674;12.59424729;1.34E-06;-0.000349425
250;-0.003912359;12.59433068;1.39E-06;-0.000355669
251;-0.0042687;12.59408933;1.66E-06;-0.000388064
252;-0.0040648;12.59416497;1.50E-06;-0.000369527
253;-0.004179776;12.59391004;1.59E-06;-0.00037998
254;-0.003961019;12.59402533;1.43E-06;-0.000360093
255;-0.005040164;12.59413889;2.31E-06;-0.000458197
256;-0.004905379;12.59403653;2.19E-06;-0.000445944
