#Digilent WaveForms Logger
#Device Name: Discovery
#Serial Number: SN:210244449844
#Date Time: 2017-02-06 09:28::28.907

Time (s),C1 DC (V),C2 DC (V),Sense-Power (W),Current (A),Battery Power (W)
63,0.079093557297736969,12.456564336212335,0.00056870825509185456,0.0071903233907033605,0.089566725914468834
64,0.07872494259661926,12.456608727754521,0.00056341968971281801,0.0071568129633290236,0.089149618821911011
65,0.078548817114412625,12.457169440322243,0.00056090151546122193,0.0071408015558556935,0.08895417492101107
66,0.077206990702360534,12.456595798178709,0.00054190176484676233,0.0070188173365782307,0.087430570543004266
67,0.076636413039981338,12.45717418116671,0.00053392180033042013,0.0069669466399983034,0.086788467805353028
68,0.076523589381473966,12.457162113562715,0.00053235088471131225,0.0069566899437703607,0.086660614403338873
69,0.077627280361607667,12.456538046076394,0.0005478176960308763,0.0070570254874188785,0.087906106476164078
70,0.077954985720902648,12.45778273316192,0.00055245270897692148,0.0070868168837184223,0.088286025007067739
71,0.077967904460418139,12.45784867399386,0.00055263582963171738,0.007087991314583467,0.088301123199663642
72,0.076155405304988696,12.457062986821215,0.00052724052337882737,0.0069232186640898813,0.086242970970103888
73,0.075942246102817954,12.456536322134117,0.00052429315846736076,0.0069038405548016322,0.085997940633109074
74,0.075925451741447297,12.456516927771309,0.0005240612929220766,0.0069023137946770266,0.085978788624183802
75,0.077509289207275789,12.455875620852384,0.00054615362849246539,0.0070462990188432531,0.087767824166045755
76,0.077325412481358796,12.456147572912627,0.00054356540140111621,0.0070295829528507995,0.087561522636740469
77,0.077032587718773277,12.455686418072455,0.00053945632460459083,0.0070029625198884801,0.087226705145245387
78,0.075178748596860287,12.455839849027813,0.00051380402187181119,0.0068344316906236626,0.085128586597528741
79,0.074987551251890536,12.455675643426492,0.00051119389479590085,0.0068170501138082309,0.084910965062578975
80,0.075479755227819967,12.455992418012674,0.00051792667720469232,0.0068617959298018149,0.085470478075561629
81,0.076826318511031055,12.455671764553889,0.00053657120145076298,0.0069842107737300959,0.086993036932043022
82,0.076414210720160261,12.455985953225349,0.00053083014545318686,0.0069467464291054779,0.086528575941556191
83,0.076622202426512812,12.456573386915336,0.00053372380951722783,0.0069656547660466193,0.086768189781176286
84,0.074247307477073837,12.456559595368882,0.00050115115159955856,0.0067497552251885307,0.084078728216713444
85,0.074143526936228624,12.455534280072408,0.00049975114423120542,0.0067403206305662383,0.08395429467269705
86,0.074383384866761881,12.455476096985505,0.00050298981311243818,0.0067621258969783526,0.084225497474620548
87,0.075984877943271051,12.455807094104671,0.00052488197055034543,0.0069077161766610048,0.086041180157315739
88,0.076175214038940731,12.455230004075091,0.00052751483944349386,0.006925019458085521,0.086252710133150598
89,0.075961624212107864,12.45526836181455,0.00052456075935831742,0.0069056022011007153,0.086011128614646645
90,0.074294245564016578,12.455266206885254,0.00050178499308421796,0.0067540223240015072,0.084123146012684571
91,0.074157306925055205,12.455692882859543,0.00049993692457971279,0.0067415733568232002,0.083970967279858255
92,0.074338169278422253,12.455334733632318,0.00050237849196976023,0.0067580153889474776,0.084173343804379241
93,0.075661909455135637,12.455682539199833,0.00052042950385428575,0.006878355405012331,0.085674611316622878
94,0.075358319076279934,12.456160502487835,0.00051626147763658334,0.0068507562796618123,0.085334119782893972
95,0.074825205758519919,12.456430299619257,0.00050898285607316749,0.0068022914325927197,0.08473226910778843
96,0.073114764645344152,12.455790716643623,0.00048597898264946064,0.0066467967859403778,0.082791109701732826
97,0.072817203011611695,12.456141108125701,0.00048203136858493374,0.0066197457283283358,0.082456486891970091
98,0.073274957015473735,12.455355851938183,0.00048811084778359304,0.0066613597286794305,0.082969605878472699
99,0.074572859713138595,12.45525370829613,0.00050555558234504077,0.0067793508830125996,0.084438535225483322
100,0.074679224001892419,12.455451961779051,0.00050699877250225686,0.0067890203638084016,0.084560317008955291
101,0.074278312451943801,12.455797612416784,0.00050156979097350815,0.0067525738592676184,0.084108693353933589
102,0.072807729269290591,12.45650313622472,0.00048190594921366495,0.0066188844790264177,0.082448155271301685
103,0.072543756358323275,12.455627373012334,0.00047841787150688806,0.0065948869416657526,0.082143454312533545
104,0.072942514785019175,12.455327406873263,0.0004836918602875219,0.0066311377077290156,0.082592991229827953
105,0.074055248882818475,12.455484716702486,0.00049856180791783518,0.0067322953529834976,0.083854001877413126
106,0.073890750266190131,12.455860536347959,0.00049634936135458882,0.0067173409332900117,0.083670261840161825
