#Digilent WaveForms Logger
#Device Name: Discovery
#Serial Number: SN:210244449844
#Date Time: 2017-02-05 17:38::12.670

Time (s),C1 DC (V),C2 DC (V),Sense-Power (W),Current (A),Battery Power (W)
0,-0.010161152834252292,12.47162211924951,9.3862751746393982e-06,-0.00092374116675020832,-0.011520550767703247
1,-0.0092030129861154081,12.472128958589076,7.699586183873531e-06,-0.00083663754419230981,-0.010434651342763755
2,-0.0084033430094907872,12.472284975460104,6.4196521577416075e-06,-0.00076394027359007156,-0.009528080796446332
3,-0.0088266470412743502,12.472420305011754,7.0826998173852039e-06,-0.00080242245829766816,-0.010008150162069284
4,-0.0091457399075528436,12.472409961351712,7.604050768782245e-06,-0.00083143090068662215,-0.010369947047899451
5,-0.0096801450992550827,12.472312558553602,8.5186553766029259e-06,-0.00088001319084137115,-0.010975799571823661
6,-0.0095776564323533705,12.472291440247719,8.3392275214727188e-06,-0.00087069603930485181,-0.010859574758079497
7,-0.0094213396840954217,12.472145336050598,8.0692401311919289e-06,-0.00085648542582685656,-0.010682210709121738
8,-0.0081527194626970865,12.472270321942116,6.0424395124945344e-06,-0.00074115631479064427,-0.0092439019088833407
9,-0.0088051158087319569,12.472296181091899,7.0481876731983109e-06,-0.00080046507352108699,-0.0099836374795745
10,-0.0090290406271728713,12.472141457177877,7.4112340588307521e-06,-0.0008208218751975337,-0.010237406538609646
11,-0.0084782716987380248,12.472175936044527,6.5346446361474691e-06,-0.00077075197261254776,-0.0096129542054770676
12,-0.0086487990604739336,12.472194037449668,6.8001568353140721e-06,-0.00078625446004308491,-0.009806318188467571
13,-0.0081944900538292263,12.472289285318549,6.1045152038460105e-06,-0.00074495364125720242,-0.009291277317911243
14,-0.0081621932050155738,12.472351778264354,6.056490719636582e-06,-0.00074201756409232491,-0.009254704085010293
15,-0.0082689881184259181,12.472259116310301,6.2160149547880906e-06,-0.00075172619258417439,-0.0093757238584272016
16,-0.0089493750667659147,12.472129389574766,7.2810285532410384e-06,-0.00081357955152417403,-0.010147069435321709
17,-0.0081673607008257328,12.472284975460282,6.0641618924902361e-06,-0.00074248733643870297,-0.0092605136507339578
18,-0.0079662589888797892,12.472016471286743,5.7692074798098223e-06,-0.00072420536262543533,-0.0090323012112586178
19,-0.0077406116718353067,12.47240306557843,5.4470062776502709e-06,-0.00070369197016684605,-0.008776729885931896
20,-0.0079666896135306038,12.47228885433276,5.7698312180305819e-06,-0.00072424451032096395,-0.0090329867338878461
21,-0.0089390400751457183,12.472169471257134,7.2642215877328337e-06,-0.00081264000683142898,-0.010135383884325137
22,-0.0083723380346294885,12.472174212101644,6.3723676514639604e-06,-0.00076112163951177168,-0.0094928416845912432
23,-0.008644492813965397,12.472243600820262,6.793386910063581e-06,-0.00078586298308776334,-0.0098014745619378774
24,-0.0092409079553901433,12.47209706563714,7.7631254399993489e-06,-0.00084008254139910396,-0.010477590999476755
25,-0.0093468416194988063,12.472339710660972,7.9421316599995509e-06,-0.00084971287449989153,-0.010597907627284879
26,-0.010014740452963905,12.472322040241977,9.1177296672937893e-06,-0.00091043095026944597,-0.011355188007164058
27,-0.0095165077319328654,12.472409961351753,8.2330835829034555e-06,-0.00086513706653935137,-0.010790344166640041
28,-0.0087030577664808685,12.472460386694186,6.8857467715184506e-06,-0.00079118706968007893,-0.0098680493850494388
29,-0.0089747819211658461,12.472301352922049,7.3224282302259381e-06,-0.00081588926556053144,-0.010176016790685194
30,-0.0089597100583862724,12.47250133034836,7.2978549391225574e-06,-0.00081451909621693382,-0.010159090511159851
31,-0.0087534408506300815,12.472544428931652,6.9657024295890448e-06,-0.00079576735005728011,-0.0099252436286826323
